ID. Productor:;Provincia;Localidad;CUENCA LECHERA;SUPERFICIE TOTAL TAMBO (Has);Sup VACA ADULTA (Has);Carga VT;Kg MS concentrado / VO / dia - promedio anual;% VACA ORD.;VO;VS;VT;LCG;PV VO;CMS;Sistema alimentación;CMS pastura;lts;kg/d;%GB;%PC;% PV;LCGP;Terneras recría (< 12 meses);Terneros/as guachera;total rianza+recria;Sup a trabajar;RECRIA         (Has);"AGRICULTURA
(Has)";"GANADERIA
(Has)";SUPERFICIE TOTAL TAMBO (Has);Energia CO2 TNCO2eq / año;Fertilizante N2O TNCO2eq / año;Animales CH4 TNCO2eq / año;Animales N2O TNCO2eq / año;Fertilizante (propio) N2O TNCO2eq / año;Residuos (propio) N2O TNCO2eq / año;Total materias primas NCO2eq / año;Fermentacion entérica Recría TNCO2eq / año;CH4 extretas recria TNCO2eq / año;N2O excretas recría TNCO2eq / año;Fermentación enterica tambo CH4 TNCO2eq / año;Manejo Estiercol CH4 TNCO2eq / año;Manejo estiercol N2O TNCO2eq / año;Estiercol en pastura CH4 TNCO2eq / año;Estiercol en pasturas N2O TNCO2eq / año;Energía CO2 TNCO2eq / año;Total Tambo TNCO2eq / año;Total establecimiento TNCO2eq / año;Total establecimeinto KgCO2eq / Lt;Factor de allocacion %;Total leche KgCO2eq / Lt
34;Santa Fe;San Guillermo;CENTRAL SANTA FE;200;100;1.09;2.4;0.8202764977;89;20;109;16.63;650;18.45;PMR;9.83;16.87;17.41;3.7;3.22;3.06;16.45;24;32;56;120;20;50;25;200;0.9;1.31;78.64;32.54;0;57;21.83;78.63;0.01;32.54;304.98;1.19;0.68;2.43;9.35;19.62;338.26;360.09;0.67;0.79;0.54
35;Santa Fe;Lucio V. López;SUR SANTA FE;221;141;1.78;7.8;0.8747514911;220;32;252;21.2;650;20.13;PMR;9.98;22.08;22.79;3.54;3.18;3.02;21;20;39;59;202;61;16;0;221;23.01;33.51;191.04;37.46;40.06;90;183.83;190.32;0.72;37.46;801.09;59.23;3.54;2.48;15.47;87.24;969.06;1152.89;0.68;0.88;0.6
36;Santa Fe;El Trébol;CENTRAL SANTA FE;130;47;2.29;5.7;0.7906976744;85;23;108;19.33;650;19.44;PMR;6.13;20.55;21.21;3.41;3.3;3.13;19.39;0;35;35;63;16;45;0;130;12.67;21.8;68.99;26.19;24.74;37;70.8;68.99;0.01;26.19;295.22;2.97;0.84;2.41;9.28;11.6;322.32;393.12;0.65;0.97;0.64
37;Santa Fe;Calchaqui;NORTE SANTA FE;330;125;1.05;9;0.9160305344;120;11;131;9.26;650;15.74;PMR;0;9.29;9.59;3.77;3.1;2.95;9.06;10;89;99;185;60;80;30;330;27.87;60.05;119.72;50.14;17.77;81;132.38;119.7;0.02;50.14;301.97;2.36;3.18;2.55;0.09;26.7;336.86;469.23;1.18;0.84;1
38;Santa Fe;Humboldt;CENTRAL SANTA FE;260;78;1.9;5.5;0.7407407407;110;39;149;20.28;650;19.79;sep;10.74;20.1;20.75;3.85;3.27;3.1;20.04;30;33;63;113;35;50;95;260;19.3;28.11;122.4;45.66;30.14;48;90.84;122.39;0.01;45.66;480.29;10.03;1.76;3.71;17.54;13.28;526.62;617.46;0.77;0.83;0.64
39;Santa Fe;La Lucila;CENTRAL SANTA FE;210;122;0.98;6.4;0.7208333333;87;34;121;17.16;650;18.64;PMR;7.39;17.78;18.35;3.57;3.12;2.97;16.9;29;61;90;162;40;18;27;210;19.67;34.27;122.64;49.03;0;64;78.92;122.63;0.02;49.03;314.11;20.94;2.33;2.37;15.71;24.98;380.44;459.36;0.86;1;0.86
40;Santa Fe;Esperanza;CENTRAL SANTA FE;160;52.8;1.42;4.6;0.8666666667;65;10;75;16.25;650;18.31;PMR;8.02;16.3;16.82;3.77;3.09;2.93;15.87;14;15;29;66;13.2;94;0;165;10.95;6.75;82.04;33.69;76.69;35;113.33;82.03;0.01;33.69;218.94;6.59;0.83;1.88;4.94;18.94;252.12;365.44;0.97;0.94;0.91
41;Santa Fe;Sarmiento (Moreno 1395);CENTRAL SANTA FE;190;134;1.57;5.6;0.7619047619;160;50;210;8.69;650;15.53;sep;9.81;19.28;19.9;0.25;3.18;3.02;10.31;61;41;102;168;34;0;0;190;19.04;27.73;183.06;79.69;1.61;77;60.96;183.04;0.02;79.69;464.96;9.83;2.29;2.8;23.68;12.58;516.14;577.1;0.96;0.63;0.6
42;Santa Fe;Ramona;CENTRAL SANTA FE;422;307;1.05;5.5;0.7608695652;245;77;322;17.9;650;18.92;PMR;10.06;18.02;18.6;3.75;3.19;3.03;17.64;94;62;156;387;80;0;5;422;10.64;16.27;330.09;92.89;42.03;192;120.96;330.06;0.03;92.89;889.82;4.38;2.55;5.59;39.08;52.01;993.44;1114.4;0.71;0.79;0.56
43;Santa Fe;Bustinza;SUR SANTA FE;155;117;1.16;6;0.8272058824;113;24;137;19.02;650;19.33;PMR;6.89;19.53;20.15;3.63;3.21;3.04;18.82;8;21;29;121;4;30;0;155;19.62;24.55;74.39;18.47;24.98;54;109.9;74.21;0.18;18.47;397.15;25;2.36;2.57;11.91;40.75;479.75;589.65;0.76;0.91;0.7
44;Santa Fe;López;CENTRAL SANTA FE;122;84;2.33;9;0.8056265985;158;38;196;19.18;650;19.39;PMR;3.73;20.11;20.76;3.49;3.01;2.86;18.76;50;40;90;122;38;0;0;122;29.94;56.19;128.71;48.07;19.79;46;136.25;128.7;0.02;48.07;568.98;13.15;1.94;3.53;18.45;30.33;636.39;772.65;0.72;0.88;0.63
45;Santa Fe;Susana;CENTRAL SANTA FE;182;119;1.43;5.9;0.8211143695;140;31;171;12.79;650;17.04;PMR;4.35;12.61;13.02;3.88;3.24;3.08;12.61;21;41;62;179;60;0;0;182;11.08;13.81;143.4;57.76;15.4;74;66.07;143.39;0.01;57.76;451.4;25.36;2.43;2.96;14.93;25.79;522.86;588.93;0.91;0.95;0.86
46;Santa Fe;Ambrosetti;CENTRAL SANTA FE;175;150;1.09;5.4;0.8496932515;139;25;164;16.89;650;18.55;PMR;8.41;17.76;18.33;3.48;3.14;2.98;16.7;79;40;119;175;25;0;0;175;12.7;11.52;246.02;111.2;0;81;101.43;246;0.02;111.2;469.59;0.54;0.81;3.51;12.01;77.22;563.69;665.12;0.79;0.87;0.69
47;Entre Rios;Cuchilla Redonda;ENTRE RIOS;95;55;1.25;7.2;0.8102189781;56;13;69;26.62;650;22.13;PMR;14.73;28.82;29.75;3.3;3.1;2.95;26.37;10;14;24;76;21;6;10;95;18.16;31.21;27.83;9.37;14.82;33;77.72;27.83;0;9.37;223.96;1.47;0.54;1.79;6.59;13.53;247.87;325.59;0.61;0.96;0.58
48;Entre Rios;Irazusta;ENTRE RIOS;180;110;0.8;5.5;0.8361581921;74;15;89;16.95;650;18.57;PMR;10.18;18.35;18.94;3.3;3.1;2.95;16.79;19;7;26;145;35;0;30;180;14.52;22.85;55.15;22.84;37.91;57;89.47;55.15;0;22.84;247.56;0.21;0.47;1.84;7.15;14.19;271.42;360.9;0.8;0.9;0.71
49;Entre Rios;Colonia 21;ENTRE RIOS;88;46;0.93;3;0.8488372093;37;7;44;7.36;650;15.04;sep;9.86;17.84;18.41;0;3.18;3.02;8.98;15;7;22;80;34;0;0;88;9.07;13.22;41.99;15.9;3.84;33;38.94;41.98;0;15.9;95.73;0.03;0.19;0.75;2.99;12.81;112.5;151.45;1.27;0.93;1.18
50;Entre Rios;Cerrito;ENTRE RIOS;120;62;1.05;7.7;0.7692307692;50;15;65;10.72;650;16.27;PMR;6.25;21.13;21.81;0.61;3.18;3.02;12.27;43;7;50;87;25;0;0;120;17.74;25.84;85.3;31.98;2.33;27;52.38;85.29;0.01;31.98;154.97;15.3;1.91;1.15;7.19;6.46;186.97;239.35;1.07;0.88;0.94
51;Entre Rios;Aldea María Luisa;ENTRE RIOS;120;80;1.9;9.1;0.9013157895;137;15;152;10.17;650;16.07;PMR;0;24.64;25.42;0;3.18;3.02;12.4;36;16;52;105;25;0;0;120;22.46;36.97;94.13;19.23;60.11;57;196.14;94.06;0.07;19.23;452.83;0.3;0.52;4.4;7.07;76.6;541.72;737.86;1.19;0.75;0.89
52;Entre Rios;Aldea Maria Luisa;ENTRE RIOS;170;93;1.4;6;0.8461538462;110;20;130;18.24;650;19.04;PMR;6.2;19.43;20.05;3.4;3.1;2.95;18.02;25;0;25;116;23;50;2;170;17.05;24.84;73.96;28.78;42.78;58;142.66;73.95;0.01;28.78;392.25;1.97;0.72;2.65;10.03;58;465.62;608.28;0.84;0.95;0.8
53;Entre Rios;El Palenque;ENTRE RIOS;108;48;1.38;4;0.7727272727;51;15;66;25.82;650;21.83;PMR;12.26;26.44;27.29;3.64;2.99;2.84;25.1;10;8;18;80;32;26;0;108;12.06;17.57;77.44;18.84;26.62;27;64.04;77.21;0.22;18.84;238.7;0.12;0.44;2.2;7.05;7.8;256.3;320.34;0.69;0.83;0.57
54;Entre Rios;Camps;ENTRE RIOS;271;164;1.75;8.3;0.9217391304;265;24;289;10.76;650;16.29;TMR;0;26.07;26.9;0;3.18;3.02;13.12;69;37;106;240;76;0;0;271;30.79;39;266.62;62.29;96.28;83;265.63;266.41;0.21;62.29;759.66;60.46;6.98;0;0;99.56;926.66;1192.29;0.94;0.88;0.82
55;Buenos Aires;Marcos Paz;ABASTO;68;63;0.79;4;0.8;40;10;50;7.65;650;15.15;PMR;11.56;18.54;19.13;0;3.18;3.02;9.33;17;4;21;68;5;0;0;68;10.35;17.49;42.22;19.08;1.28;31;31.97;42.22;0;19.08;107.74;1.11;0.37;0.64;5.17;2.84;117.87;149.84;1.1;0.86;0.94
56;Buenos Aires;lértora;OESTE BONAERENSE;100;60;0.95;6.5;0.7894736842;45;12;57;18.94;650;19.3;PMR;10.61;19.45;20.08;3.62;3.18;3.02;18.71;18;37;55;100;40;0;0;100;19.72;26.45;65.25;25.68;19.59;38;92.6;65.24;0.01;25.68;165.19;0.1;0.38;1.31;5.98;26.84;199.8;292.4;0.95;0.9;0.85
57;Buenos Aires;Las Marias;OESTE BONAERENSE;93;75;0.85;2.3;0.796875;51;13;64;5.56;650;14.38;sep;8.22;13.47;13.9;0;3.18;3.02;6.78;13;4;17;85;10;5;0;93;6.62;9.64;50.82;14.69;6.7;45;35.75;50.67;0.15;14.69;132.99;0.13;0.38;1;6.39;12.79;153.67;189.41;1.5;0.84;1.26
58;Buenos Aires;colonia 17;OESTE BONAERENSE;100;65;1.2;9.6;0.8333333333;65;13;78;25.33;650;21.65;PMR;8.31;26.07;26.9;3.61;3.18;3.02;25.03;27;58;85;100;35;0;0;100;30.44;38.91;107.91;44.24;0;61;89.84;107.89;0.02;44.24;264.52;27.6;2.97;1.68;6.25;20.49;323.5;413.34;0.7;0.95;0.66
59;Buenos Aires;villa sena;OESTE BONAERENSE;400;250;1.54;9.5;0.7792207792;300;85;385;22.89;650;20.75;TMR;6.45;23.4;24.15;3.65;2.97;2.82;22.22;87;220;307;350;100;0;0;400;29.7;40.4;358.18;118.59;134.78;158;256.28;357.97;0.22;118.59;1126.16;76.65;25.91;0;0;51.41;1280.12;1536.41;0.63;0.9;0.57
